 Заболели Умерли Вакцинировались * 
Папуа — Новая Гвинея ; (37983, 597, '2.7%')
Бурунди ; (37756, 38, '0.1%')
Андорра ; (36989, 148, '69.7%')
Того ; (36612, 270, '13.3%')
Гвинея ; (36297, 432, '14.7%')
Танзания ; (33436, 792, '2.6%')
Аруба ; (33406, 196, '0%')
Новая Каледония ; (32895, 284, '0%')
Багамы ; (32833, 753, '39.3%')
Лесото ; (32350, 695, '36.2%')
Мали ; (30236, 715, '3.1%')
Гаити ; (29888, 806, '0.9%')
Бенин ; (26498, 163, '17.1%')
Сомали ; (26203, 1340, '5.6%')
Фарерские о-ва ; (25625, 20, '0%')
Конго - Браззавиль ; (23854, 375, '0%')
о-в Мэн ; (22014, 73, '0%')
Сент-Люсия ; (21831, 342, '28.1%')
Восточный Тимор ; (20942, 122, '0%')
Буркина-Фасо ; (20693, 375, '3.4%')
Тайвань ; (19293, 851, '73.9%')
Бруней-Даруссалам ; (18845, 98, '93.2%')
Новая Зеландия ; (18839, 53, '78%')
Никарагуа ; (17791, 222, '58.1%')
Таджикистан ; (17753, 125, '41.2%')
Южный Судан ; (16873, 137, '2.5%')
Острова Кайман ; (15934, 16, '0%')
Экваториальная Гвинея ; (15850, 182, '15.1%')
Джибути ; (15527, 189, '9.4%')
ЦАР ; (14110, 110, '12.5%')
Гибралтар ; (14039, 101, '0%')
Сан-Марино ; (13788, 109, '63%')
Гренада ; (13041, 212, '33%')
Гамбия ; (11911, 365, '13%')
Йемен ; (11579, 2090, '1.2%')
Гренландия ; (11300, 7, '0%')
Бермудские о-ва ; (11058, 119, '0%')
Лихтенштейн ; (10093, 74, '68.3%')
Доминика ; (10073, 53, '40.6%')
Эритрея ; (9652, 102, '0%')
Синт-Мартен ; (9449, 83, '0%')
Сен-Мартен ; (9439, 61, '0%')
Монако ; (8922, 49, '67%')
Нигер ; (8700, 303, '4.1%')
Сент-Винсент и Гренадины ; (8144, 101, '25.2%')
Коморы ; (7978, 160, '35.1%')
Гвинея-Бисау ; (7813, 158, '15.2%')
Сьерра-Леоне ; (7638, 125, '8.9%')
Либерия ; (7346, 290, '20%')
Чад ; (7216, 190, '0.9%')
Антигуа и Барбуда ; (6853, 131, '62.4%')
Бутан ; (6648, 4, '74.8%')
Виргинские о-ва  ; (5928, 58, '0%')
Сан-Томе и Принсипи ; (5913, 71, '28.6%')
о-ва Тёркс и Кайкос ; (5806, 35, '0%')
Сент-Китс и Невис ; (5492, 39, '46.4%')
Соломоновы Острова ; (3795, 40, '11.9%')
Сен-Бартелеми ; (3435, 6, '0%')
Палау ; (2956, 0, '0%')
Ангилья ; (2458, 9, '0%')
Кирибати ; (2173, 1, '39%')
Сен-Пьер и Микелон ; (1002, 1, '0%')
Лайнер «Даймонд Принсесс» ; (712, 13, '0%')
Монтсеррат ; (163, 2, '0%')
Фолклендские о-ва ; (91, 0, '0%')
Тонга ; (35, 0, '0%')
Самоа ; (33, 0, '63.2%')
Ватикан ; (29, 0, '0%')
Антарктида ; (11, 0, '0%')
Вануату ; (7, 1, '24.6%')
Маршалловы Острова ; (7, 0, '0%')
Федеративные Штаты Микронезии ; (1, 0, '0%')
